index,premise,hypothesis,true_label,predicted_label
0,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,1,2
4,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,0,1
12,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,0,1
20,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,1,0
23,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap,1,2
36,Three firefighter come out of subway station.,Three firefighters putting out a fire inside of a subway station.,1,2
43,Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,0,1
46,During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,2,1
62,People jump over a mountain crevasse on a rope.,Some people look visually afraid to jump.,1,2
66,A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,1,0
67,A snowboarder on a wide plain of snow,A snowmobile in a blizzard,1,2
73,A man in a black shirt overlooking bike maintenance.,A man learns bike maintenance.,1,0
78,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.,0,1
105,A Ford car is making a right turn as 3 males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.,1,0
108,Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,0,1
113,A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,0,2
148,A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a person.,1,0
160,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE.""",The group of people aren't inide of the building.,0,2
183,Six dogs swimming in a river.,Six dogs swim across the river.,1,0
200,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in a feild.,0,1
211,This child is on the library steps.,The child is on the steps inside the library.,1,0
230,Several younger people sitting in front of a statue.,several young people sitting outside,1,0
235,A group of adults stands in the bathroom looking down a small child in the bath.,The child is sleeping.,2,1
242,"A man, woman, and child get their picture taken in front of the mountains.",A family on vacation is posing.,0,1
285,A group of people gathered at night watching an event.,A group of humans are looking at the same direction.,1,0
300,A person in a red shirt is mowing the grass with a green riding mower.,A person in red is moving grass on a John Deer motor.,1,2
302,Group of people wearing black shirts riding in an open top vehicle.,A group of people go down the road in a convertible.,0,1
304,Group of people wearing black shirts riding in an open top vehicle.,Froends ride in an open top vehicle together.,1,0
347,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,The people are going up on the escalator.,1,0
356,A birthday party for many little people to enjoy.,Children enjoying a birthday party.,1,0
358,A birthday party for many little people to enjoy.,Children at a birthday party.,1,0
371,Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,2,1
372,Everyone on the street in the city seem to be busy doing their own thing.,People are conducting business in the city.,0,1
379,Several women are playing volleyball.,They women are hitting a ball with their arms,0,1
383,Two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches.,12 ladies play volleyball,1,2
389,"People are riding bicycles in the street, and they are all wearing helmets.","A group of friends are grabbing their bikes, getting ready for the morning bike ride",2,1
