,index,premise,hypothesis,true_label,response
20,20,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,1,1
242,242,"A man, woman, and child get their picture taken in front of the mountains.",A family on vacation is posing.,0,1
372,372,Everyone on the street in the city seem to be busy doing their own thing.,People are conducting business in the city.,0,1
596,596,A group of people stand near and on a large black square on the ground with some yellow writing on it.,a group of people stand,1,1
707,707,A family walking with a soldier.,A few people walk with a man in uniform.,1,0
730,730,"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",There are children in the streets.,2,1
835,835,"Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.",Some people are at work.,2,1
857,857,A man wearing a snorkel and goggles gives a thumbs up as he and another person speed through the water.,There are two guys above the water.,1,1
304,304,Group of people wearing black shirts riding in an open top vehicle.,Froends ride in an open top vehicle together.,1,1
356,356,A birthday party for many little people to enjoy.,Children enjoying a birthday party.,1,1
358,358,A birthday party for many little people to enjoy.,Children at a birthday party.,1,0
397,397,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.,the men are musicians,0,1
561,561,Four boys are about to be hit by an approaching wave.,A giant wave is about to crash on some boys.,0,1
833,833,"Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.",Five men watch tv.,1,1
1253,1253,A man in aerodynamic gear riding a bicycle down a road around a sharp curve.,the man is going to the store,2,1
1350,1350,"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",0,1
1405,1405,3 girls chatting and laughing on the stairwell.,A group of girls are having fun.,1,1
1561,1561,Pedestrians are gazing at a display of books set out on a sidewalk under a tree.,People are standing on a sidewalk.,1,0
1571,1571,A young boy runs across a road in front of a sky blue building with barred windows.,A boy runs across a road in front of an abandoned building.,0,1
1598,1598,The man is trying to make a pottery that he can market soon.,An old man is making pottery to sell.,0,1
1677,1677,A classroom of mostly women is being shown a presentation.,The college class of mostly females watched a presentation.,0,1
1695,1695,A blond woman in a white shirt demonstrates her talents to a crowd.,The woman is a street performer.,0,1
1779,1779,A concert with a blue shirted boy in the front and light shining in the back,The moment the fan saw the light,2,1
1780,1780,A concert with a blue shirted boy in the front and light shining in the back,The moment has it's fan,2,1
1841,1841,Two workers with leaf blowers blow orange leaves off patches of grass next to a wet sidewalk.,Two workers with leaf blowers blow leaves at each other for  fun,2,1
1915,1915,A child buried in the sand.,The child is dead.,2,1
1927,1927,"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,0,2
1964,1964,A small child is riding in a red wagon.,A kid is playing inside the house.,1,1
2031,2031,An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is handling food containers.,1,0
2152,2152,A man in a colorful shirt and a lady in a white blouse sign copies of books for people.,Two people sign copies of their latest novel.,0,1
2160,2160,Two men playing in a beautiful lake surrounded by mountains.,A couple people enjoy the water near the mountains.,1,0
