index,premise,hypothesis,true_label,predicted_label
0,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,1,2
12,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,0,1
20,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,1,0
23,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap,1,2
37,Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,0,2
43,Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,0,1
46,During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,2,1
53,Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are building a brick furnace.,1,2
62,People jump over a mountain crevasse on a rope.,Some people look visually afraid to jump.,1,2
66,A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,1,0
67,A snowboarder on a wide plain of snow,A snowmobile in a blizzard,1,2
78,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.,0,1
79,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,2,0
105,A Ford car is making a right turn as 3 males are walking across the street behind the car.,A sedan was turning a corner as walkers were crossing.,1,0
108,Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,0,1
111,Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,2,1
113,A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,0,2
148,A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a person.,1,0
173,A man of the cloth puts a black substance on a man's forehead.,The men are at church.,1,2
176,A person rolls down a hill riding a wagon as another watches.,A child in a wagon rolls down a hill.,1,2
183,Six dogs swimming in a river.,Six dogs swim across the river.,1,0
186,A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman have mug shots taken because they have been arrested.,2,1
199,A bird is flapping its wings on the water.,The duck is swimming in the lake.,1,2
200,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.,A young boy is playing in a feild.,0,1
211,This child is on the library steps.,The child is on the steps inside the library.,1,0
242,"A man, woman, and child get their picture taken in front of the mountains.",A family on vacation is posing.,0,1
261,A girl in a blue dress takes off her shoes and eats blue cotton candy.,The girl in a blue dress is a flower girl at a wedding.,1,2
278,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,He is wearing a button-up shirt.,1,2
285,A group of people gathered at night watching an event.,A group of humans are looking at the same direction.,1,0
300,A person in a red shirt is mowing the grass with a green riding mower.,A person in red is moving grass on a John Deer motor.,1,2
302,Group of people wearing black shirts riding in an open top vehicle.,A group of people go down the road in a convertible.,0,1
304,Group of people wearing black shirts riding in an open top vehicle.,Froends ride in an open top vehicle together.,1,0
306,Two men prepare a fish at a dock.,Two men are cleaning their fish,0,2
347,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,The people are going up on the escalator.,1,2
356,A birthday party for many little people to enjoy.,Children enjoying a birthday party.,1,0
358,A birthday party for many little people to enjoy.,Children at a birthday party.,1,0
371,Everyone on the street in the city seem to be busy doing their own thing.,The people are watching what is happening.,2,1
372,Everyone on the street in the city seem to be busy doing their own thing.,People are conducting business in the city.,0,1
379,Several women are playing volleyball.,They women are hitting a ball with their arms,0,1
383,Two women's volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches.,12 ladies play volleyball,1,2
389,"People are riding bicycles in the street, and they are all wearing helmets.","A group of friends are grabbing their bikes, getting ready for the morning bike ride",2,1
397,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.,the men are musicians,0,1
401,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background.,Young boys waiting for their soccer game.,1,2
410,"A man is sitting in the green chair, talking on the phone, and working on the laptop, and there is construction site next to his building.",The man can hear the construction going on.,1,0
416,A golden retriever nurses puppies.,Puppies next to their mother,0,1
427,A man wearing a red vest is walking past a black and green fence.,The man wearing the vest is walking down the street.,1,0
437,A standing man talks to a seated woman while on some sort of vehicle.,Three people are having a meeting.,2,0
456,Several men at a bar watch a sports game on the television.,The men are at a baseball game.,2,1
457,"Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background",Two men are wearing lime green jackets.,0,1
467,Some dogs are running on a deserted beach.,There is only one dog at the beach.,2,0
469,A crowded city street with lots of pedestrians.,There alot of motorcyclists on this road.,1,0
476,A group of people are in a rowboat in the ocean surrounded by seagulls.,A bunch of people are in a wooden object on the water.,1,0
491,A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.,A girl is standing outside.,1,0
503,a man with a red headband climbing a rock cliff looming over greenery.,A man has on climbing gear.,1,0
512,an old shoemaker in his factory,The shoemaker is getting ready for his 16th birthday.,2,1
558,Boys with their backs against an incoming wave.,A group of people sit on the beach.,1,2
561,Four boys are about to be hit by an approaching wave.,A giant wave is about to crash on some boys.,0,1
573,A hockey player in helmet.,Players are wearing helmet.,1,0
575,A hockey player in helmet.,They are playing hockey,1,0
578,Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing a blue shirt.,1,0
588,A white duck expanding its wings in the water.,"The duck is a rare breed, most thought to have been driven into extinction years ago.",2,1
596,A group of people stand near and on a large black square on the ground with some yellow writing on it.,a group of people stand,1,0
621,"A group of seven individuals wearing rafting gear, white water raft down a river.",There are people in an inflatable boat.,0,1
624,Two little boys wearing athletic jerseys are washing their hands in a public restroom.,The boys had unclean hands.,0,1
625,Two little boys wearing athletic jerseys are washing their hands in a public restroom.,They were playing soccer.,1,2
634,Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,2,1
641,"A woman doing gymnastics, she is using the balance beam",A woman is doing a handstand on the balance beam.,1,2
645,"Six rescuers cooperate to place an injured man on a transport device in snowy, mountainous terrain.",six people act to save a seventh who is injured,0,1
661,A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,People are buying food from a street vendor.,0,1
683,A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.,A boy swims while a seagull shits on the sand.,1,0
686,Here is a picture of people getting drunk at a house party.,Some people are by the side of a swimming pool partying.,1,2
688,Here is a picture of people getting drunk at a house party.,People were celebrating at a Christmas themed party.,1,2
699,A variety of people are sitting around a tale doing craft projects.,The people are creative.,1,0
701,A woman in black reviews a message as she walks to work.,The woman in black is being fired via text message.,1,2
702,A woman in black reviews a message as she walks to work.,The woman in black has a job.,0,1
704,A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,A pitcher is playing baseball at a stadium,0,1
707,A family walking with a soldier.,A few people walk with a man in uniform.,1,0
715,Boy in midair on bicycle,The boy is falling off of his bicycle.,1,2
722,"Three workers, with life vests and hard hats, on a boat hanging from cables over water.","Three lifeguards are haning from the boar, trying to save the dog from drowning.",1,2
730,"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",There are children in the streets.,2,1
746,A crowd wearing orange cheering for their team in a stadium.,Fans cheering on their team at the big game.,0,1
755,A worker peers out from atop a building under construction.,A man is atop of a building.,1,0
773,"A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.",The man in white and black is leaping.,0,2
794,a young boy using a field microscope to identify a field specimen during a field trip.,The boy is on a science field trip.,1,0
810,A person is sitting in front of a graffiti covered wall.,A person is sitting outside,1,0
828,"A man is shooting a gun outdoors, on what looks like a beautiful sunny day.",A man is shooting a gun at targets on a nice day.,0,1
833,"Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.",Five men watch tv.,1,0
834,"Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.",Some guys are in a living room.,1,0
835,"Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.",Some people are at work.,2,1
840,"People seated at long tables all facing the same direction, some writing and some watching.",A group of people are sitting at the tables sharing a meal.,2,1
845,Four women competitively rollerskating around an area.,Four women enjoying rollerskating.,1,0
856,A car is loaded with items on the top.,The car is a convertible.,2,1
857,A man wearing a snorkel and goggles gives a thumbs up as he and another person speed through the water.,There are two guys above the water.,1,0
873,"A man is sitting on the floor, sleeping.","A man is lying down, sleeping.",2,0
875,"A man is sitting on the floor, sleeping.",A young man is sleeping while in the sitting position.,0,1
897,Two ladies at workout in mother nature.,The ladies are sitting on the floor.,2,1
905,A man is riding a bike along a dirt trail.,The man is riding a dirt bike.,1,0
906,A group of people in an alley looking at the camera.,People are hanging out together,1,0
931,A wet child stands in chest deep ocean water.,The child s playing on the beach.,0,1
